NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
KEPPEL LTD SPONSORED ADR,ADR,492051305,"3,670","464,559",SH,,SOLE,,"447,809",0,"16,750"
KERING-UNSPONSORED ADR,ADR,492089107,"47,303","685,260",SH,,SOLE,,"588,478",0,"96,782"
KEROS THERAPEUTICS INC,Common Stock,492327101,245,"3,979",SH,,SOLE,,"3,979",0,0
KERRY GROUP PLC ADR,ADR,492460100,"19,234","152,274",SH,,SOLE,,"114,755",0,"37,519"
KEURIG DR PEPPER INC,Common Stock,49271V100,"26,028","757,297",SH,,SOLE,,"710,473",0,"46,824"
KEYCORP,Common Stock,493267108,"130,892","6,551,128",SH,,SOLE,,"4,761,106",0,"1,790,022"
Keyence Corp,Common Stock,J32491102,432,928,SH,,SOLE,,228,0,700
KEYSIGHT TECHNOLOGIES INC,Common Stock,49338L103,"93,099","649,229",SH,,SOLE,,"474,224",0,"175,005"
KEZAR LIFE SCIENCES INC,Common Stock,49372L100,256,"42,983",SH,,SOLE,,"42,253",0,730
KFORCE INC,Common Stock,493732101,"3,850","71,832",SH,,SOLE,,"21,330",0,"50,502"
KILROY REALTY CORP REIT,REIT,49427F108,"6,448","98,248",SH,,SOLE,,"81,605",0,"16,643"
KIMBALL ELECTRONICS INC,Common Stock,49428J109,486,"18,841",SH,,SOLE,,"18,067",0,774
KIMBALL INTL INC CL B,Common Stock,494274103,462,"32,989",SH,,SOLE,,"21,331",0,"11,658"
KIMBERLY-CLARK CORP,Common Stock,494368103,"226,763","1,630,805",SH,,SOLE,,"1,145,213",0,"485,591"
KIMBERLY-CLARK DE MEXICO-ADR,ADR,494386204,520,"61,357",SH,,SOLE,,"57,932",0,"3,425"
KIMCO REALTY CORP COM REIT,REIT,49446R109,"23,948","1,277,229",SH,,SOLE,,"1,061,001",0,"216,227"
KINDER MORGAN INC DELAWARE,Common Stock,49456B101,"91,565","5,499,422",SH,,SOLE,,"4,805,165",0,"694,257"
KINDRED BIOSCIENCES IN COM,Common Stock,494577109,132,"26,655",SH,,SOLE,,"26,545",0,110
KINGFISHER PLC SPON ADR PAR,ADR,495724403,"30,421","3,476,711",SH,,SOLE,,"3,190,290",0,"286,421"
Kingsoft Cloud Holdings Ltd,ADR,49639K101,207,"5,257",SH,,SOLE,,"4,952",0,305
KINGSPAN GROUP PLC-UNSP ADR,ADR,496402108,"6,971","83,338",SH,,SOLE,,"83,319",0,19
KINIKSA PHARMACEUTICALS-A,Common Stock,G5269C101,"1,335","72,143",SH,,SOLE,,"10,812",0,"61,331"
KINROSS GOLD CORP,Common Stock,496902404,"11,972","1,794,908",SH,,SOLE,,"1,734,713",0,"60,195"
KINSALE CAPITAL GROUP INC,Common Stock,49714P108,"5,782","35,086",SH,,SOLE,,"27,267",0,"7,819"
KION GROUP AG-UNSP ADR,ADR,497216101,"3,355","135,629",SH,,SOLE,,"126,487",0,"9,142"
KIRBY CORP,Common Stock,497266106,"11,869","196,896",SH,,SOLE,,"165,949",0,"30,947"
KIRIN BREWERY LTD SPONSORED ADR,ADR,497350306,"23,641","1,219,213",SH,,SOLE,,"1,093,217",0,"125,996"
KIRKLAND LAKE GOLD LTD,Common Stock,4.97E+104,"4,577","135,423",SH,,SOLE,,"128,794",0,"6,629"
KITE RLTY GROUP TR COM REIT,REIT,49803T300,"6,504","337,179",SH,,SOLE,,"242,841",0,"94,338"
KKR & CO INC 6 FIXED,PUBLIC,48251W401,268,"4,023",SH,,SOLE,,0,0,"4,023"
KKR & CO INC- A,Common Stock,48251W104,"21,535","440,848",SH,,SOLE,,"164,369",0,"276,479"
KKR REAL ESTATE FIN TR COM,REIT,48251K100,"1,572","85,487",SH,,SOLE,,"76,999",0,"8,488"
KLA CORP,Common Stock,482480100,"188,140","569,432",SH,,SOLE,,"430,819",0,"138,613"
KNIGHT-SWIFT TRANSPORTATION HOLDINGS INC,Common Stock,499049104,"17,917","372,566",SH,,SOLE,,"355,926",0,"16,639"
KNOLL INC,Common Stock,498904200,"1,713","103,754",SH,,SOLE,,"100,525",0,"3,229"
KNORR-BREMSE - UNSP ADR,ADR,499180107,"15,704","502,917",SH,,SOLE,,"449,853",0,"53,064"
KNOWLES CORP COM,Common Stock,49926D109,"4,747","226,923",SH,,SOLE,,"209,075",0,"17,848"
KOC HLDG ADR,ADR,49989A109,"1,266","107,330",SH,,SOLE,,"98,728",0,"8,602"
KODIAK SCIENCES INC,Common Stock,50015M109,"2,342","20,653",SH,,SOLE,,"9,828",0,"10,825"
KOHL'S CORP,Common Stock,500255104,"186,048","3,121,087",SH,,SOLE,,"1,237,169",0,"1,883,918"
KOITO MANUFACTURING CO-ADR,ADR,500275102,"7,007","103,714",SH,,SOLE,,"95,699",0,"8,015"
KOMATSU LTD SPON ADR NEW,ADR,500458401,"47,544","1,522,389",SH,,SOLE,,"1,341,777",0,"180,611"
Konami Holdings UNSP ADR,ADR,50046R200,933,"32,332",SH,,SOLE,,"24,494",0,"7,838"
KONE OYJ ADR,ADR,50048H101,"39,832","975,666",SH,,SOLE,,"875,726",0,"99,940"
KONINKLIJKE AHOLD NV,ADR,500467501,"55,723","1,996,536",SH,,SOLE,,"1,849,713",0,"146,823"
KONINKLIJKE PHILIPS ELECTRS NY REG SH NEW,NY Reg Shrs,500472303,"52,886","927,328",SH,,SOLE,,"788,042",0,"139,286"
KONINKLIJKE VOPAK N V ADR,ADR,50048T105,"10,633","215,724",SH,,SOLE,,"192,883",0,"22,841"
KONTOOR BRANDS INC,Common Stock,50050N103,"10,451","215,356",SH,,SOLE,,"171,730",0,"43,626"
KOPPERS HOLDINGS INC,Common Stock,50060P106,"2,999","86,278",SH,,SOLE,,"66,558",0,"19,720"
KOREA ELECTRIC PWR SPONSORED ADR,ADR,500631106,"15,117","1,473,392",SH,,SOLE,,"1,394,840",0,"78,552"
KORN FERRY,Common Stock,500643200,"13,466","215,907",SH,,SOLE,,"154,119",0,"61,788"
KORNIT DIGITAL LTD SHS,Common Stock,M6372Q113,"4,772","48,145",SH,,SOLE,,"48,011",0,134
KOSE CORP-UNSPONSORED ADR,ADR,500679105,"8,081","284,796",SH,,SOLE,,"217,692",0,"67,104"
KOSMOS ENERGY LTD SHS,Common Stock,500688106,174,"56,646",SH,,SOLE,,"55,505",0,"1,141"
KRAFT HEINZ CO/THE,Common Stock,500754106,"138,464","3,461,593",SH,,SOLE,,"2,554,611",0,"906,982"
KRATON CORP,Common Stock,50077C106,"7,783","212,716",SH,,SOLE,,"185,996",0,"26,720"
KRATOS DEFENSE & SECURITY SOLU,Common Stock,50077B207,"2,649","97,111",SH,,SOLE,,"64,734",0,"32,377"
KROGER CO/THE,Common Stock,501044101,"343,500","9,544,315",SH,,SOLE,,"4,322,259",0,"5,222,056"
KRONOS WORLDWIDE INC,Common Stock,50105F105,"2,831","185,021",SH,,SOLE,,"181,633",0,"3,387"
KRYSTAL BIOTECH INC,Common Stock,501147102,548,"7,113",SH,,SOLE,,"4,542",0,"2,571"
KT CORP SPONSORED ADR,ADR,48268K101,"13,467","1,082,591",SH,,SOLE,,"1,074,298",0,"8,293"
KUBOTA CORP ADR,ADR,501173207,"30,479","265,217",SH,,SOLE,,"232,180",0,"33,037"
KUEHNE & NAGEL INTL AG ADR,ADR,501187108,"27,999","490,015",SH,,SOLE,,"435,311",0,"54,704"
KULICKE & SOFFA INDUSTRIES INC,Common Stock,501242101,"8,223","167,433",SH,,SOLE,,"137,693",0,"29,740"
Kura Oncology Inc,Common Stock,50127T109,"1,061","37,531",SH,,SOLE,,"32,565",0,"4,966"
KURARAY CO LTD ADR,ADR,50127R103,362,"10,222",SH,,SOLE,,"4,098",0,"6,124"
KVH INDS INC COM,Common Stock,482738101,440,"34,666",SH,,SOLE,,"33,507",0,"1,159"
Kymera Therapeutics Inc,Common Stock,501575104,218,"5,618",SH,,SOLE,,"5,618",0,0
KYOCERA CORP - SPONS ADR,ADR,501556203,"42,287","659,904",SH,,SOLE,,"602,697",0,"57,208"
L BRANDS INC,Common Stock,501797104,"64,781","1,047,223",SH,,SOLE,,"629,732",0,"417,491"
L OREAL CO ADR,ADR,502117203,"115,608","1,508,456",SH,,SOLE,,"1,286,575",0,"221,881"
L3HARRIS TECHNOLOGIES INC,Common Stock,502431109,"147,463","727,566",SH,,SOLE,,"588,261",0,"139,304"
LABORATORY CORP OF AMERICA HOL,Common Stock,50540R409,"80,010","313,730",SH,,SOLE,,"269,406",0,"44,324"
LADDER CAPITAL CORP CLASS A,REIT,505743104,"1,344","113,924",SH,,SOLE,,"111,858",0,"2,066"
LAKELAND BANCORP INC,Common Stock,511637100,"3,765","215,995",SH,,SOLE,,"196,767",0,"19,228"
LAKELAND FINANCIAL CORP,Common Stock,511656100,"2,301","33,257",SH,,SOLE,,"26,347",0,"6,910"
LAM RESEARCH CORP,Common Stock,512807108,"350,388","588,649",SH,,SOLE,,"455,568",0,"133,082"
LAMAR ADVERTISING CO,REIT,512816109,"14,060","149,699",SH,,SOLE,,"138,784",0,"10,915"
LAMB WESTON HOLDING INC,Common Stock,513272104,"38,000","490,444",SH,,SOLE,,"401,297",0,"89,147"
LANCASTER COLONY CORP,Common Stock,513847103,"7,003","39,936",SH,,SOLE,,"33,064",0,"6,872"
LANDEC CORP COM,Common Stock,514766104,243,"22,918",SH,,SOLE,,"5,965",0,"16,953"
LANDS END INC COM,Common Stock,51509F105,417,"16,803",SH,,SOLE,,"16,632",0,171
LANDSTAR SYSTEM INC,Common Stock,515098101,"35,384","214,370",SH,,SOLE,,"171,820",0,"42,549"
LANNET INC COM,Common Stock,516012101,866,"163,922",SH,,SOLE,,"133,213",0,"30,709"
LANTHEUS HLDGS INC COM,Common Stock,516544103,"2,483","116,189",SH,,SOLE,,"106,914",0,"9,275"
Lantronix Inc,Common Stock,516548203,195,"42,658",SH,,SOLE,,0,0,"42,658"
LAREDO PETROLEUM INC,Common Stock,516806205,520,"17,288",SH,,SOLE,,"14,045",0,"3,243"
LAS VEGAS SANDS CORP,Common Stock,517834107,"49,450","813,862",SH,,SOLE,,"555,060",0,"258,801"
LATTICE SEMICONDUCTOR CORP,Common Stock,518415104,"7,613","169,101",SH,,SOLE,,"102,383",0,"66,718"
LAUREATE EDUCATION INC-A,Common Stock,518613203,"1,130","83,153",SH,,SOLE,,"76,215",0,"6,938"
LAZARD LTD SHS A,Common Stock,G54050102,347,"7,970",SH,,SOLE,,"5,132",0,"2,838"
LA-Z-BOY INC,Common Stock,505336107,"7,516","176,921",SH,,SOLE,,"141,008",0,"35,913"
LCI INDUSTRIES,Common Stock,50189K103,"10,231","77,340",SH,,SOLE,,"45,134",0,"32,206"
LEAR CORP,Common Stock,521865105,0,"183,100",SH,,SOLE,,"183,100",0,0
LEAR CORP,Common Stock,521865204,"84,409","465,704",SH,,SOLE,,"192,628",0,"273,076"
LEGAL & GEN GROUP PLC SPONSORED ADR,ADR,52463H103,"19,560","1,012,162",SH,,SOLE,,"877,992",0,"134,170"
LEGGETT & PLATT INC,Common Stock,524660107,"27,814","609,285",SH,,SOLE,,"555,468",0,"53,817"
LEGRAND SA-UNSP ADR,ADR,524671104,"20,341","1,094,784",SH,,SOLE,,"965,926",0,"128,858"
LEIDOS HOLDINGS INC,Common Stock,525327102,"51,932","539,383",SH,,SOLE,,"460,040",0,"79,343"
LEMAITRE VASCULAR INC COM,Common Stock,525558201,"3,552","72,815",SH,,SOLE,,"34,206",0,"38,609"
Lemonade Inc,Common Stock,52567D107,"1,565","16,800",SH,,SOLE,,"14,302",0,"2,498"
LEND LEASE LTD SPONSORED ADR,ADR,526023205,"2,454","242,702",SH,,SOLE,,"197,015",0,"45,687"
LENDINGCLUB CORP,Common Stock,52603A208,252,"15,255",SH,,SOLE,,"14,652",0,603
LENDINGTREE INC,Common Stock,52603B107,"4,053","19,028",SH,,SOLE,,"18,162",0,866
LENNAR CORP,Common Stock,526057104,"120,063","1,186,037",SH,,SOLE,,"939,637",0,"246,400"
LENNAR CORP CL B,Common Stock,526057302,"3,917","47,574",SH,,SOLE,,"44,847",0,"2,727"
LENNOX INTERNATIONAL INC,Common Stock,526107107,"24,188","77,628",SH,,SOLE,,"70,168",0,"7,459"
LESLIE'S INC,Common Stock,527064109,"1,096","44,742",SH,,SOLE,,"43,934",0,808
LEVONO GROUP LTD ADR,ADR,526250105,"12,481","436,706",SH,,SOLE,,"411,275",0,"25,431"
LEXICON PHARMACEUTICAL COM,Common Stock,528872302,544,"92,701",SH,,SOLE,,"92,053",0,648
LEXINGTON REALTY TRUST REIT,REIT,529043101,"10,998","989,916",SH,,SOLE,,"812,336",0,"177,580"
LG PHILIP LCD CO LTD SPONS ADR REP,ADR,50186V102,"24,120","2,414,457",SH,,SOLE,,"2,287,015",0,"127,442"
LGI HOMES INC COM,Common Stock,50187T106,"9,590","64,230",SH,,SOLE,,"60,522",0,"3,708"
LHC GROUP INC,Common Stock,50187A107,"12,901","67,468",SH,,SOLE,,"54,039",0,"13,429"
LI AUTO INC - ADR,ADR,50202M102,292,"11,662",SH,,SOLE,,"10,828",0,834
LIBERTY BRAVES GROUP-A,Tracking Stk,531229706,"1,180","41,372",SH,,SOLE,,"37,730",0,"3,642"
LIBERTY BRAVES GROUP-C,Tracking Stk,531229888,"1,533","55,091",SH,,SOLE,,"50,883",0,"4,208"
LIBERTY BROADBAND-A,Common Stock,530307107,"8,220","56,634",SH,,SOLE,,"53,303",0,"3,331"
LIBERTY BROADBAND-C,Common Stock,530307305,"70,522","469,680",SH,,SOLE,,"449,768",0,"19,912"
LIBERTY GLOBAL INC-SERIES C,Common Stock,G5480U120,"33,794","1,323,164",SH,,SOLE,,"712,763",0,"610,401"
LIBERTY GLOBAL PLC,Common Stock,G5480U104,"9,137","356,098",SH,,SOLE,,"113,126",0,"242,972"
LIBERTY LATIN AMERICA CL A,Common Stock,G9001E102,652,"50,806",SH,,SOLE,,"49,458",0,"1,348"
LIBERTY LATIN AMERICA CLASS C,Common Stock,G9001E128,"2,058","158,525",SH,,SOLE,,"152,634",0,"5,891"
LIBERTY MEDIA CORP-LIBERTY-A,Tracking Stk,531229870,"1,234","32,293",SH,,SOLE,,"29,603",0,"2,690"
LIBERTY MEDIA CORP-LIBERTY-C,Tracking Stk,531229854,"10,463","241,690",SH,,SOLE,,"185,836",0,"55,854"
LIBERTY OILFIELD SERVICES -A,Common Stock,53115L104,"3,229","285,965",SH,,SOLE,,"282,653",0,"3,312"
LIBERTY SIRIUSXM GROUP,Tracking Stk,531229409,"6,416","145,558",SH,,SOLE,,"136,568",0,"8,990"
LIBERTY SIRIUSXM GROUP-C,Tracking Stk,531229607,"29,630","671,725",SH,,SOLE,,"429,553",0,"242,172"
LIBERTY TRIPADVISOR HOLDINGS INC,Common Stock,531465102,304,"47,692",SH,,SOLE,,"46,980",0,712
LICT CORP,Common Stock,50187G104,450,20,SH,,SOLE,,20,0,0
LIFE HEALTHCARE GRP ADR,ADR,531850105,301,"60,122",SH,,SOLE,,"56,027",0,"4,095"
LIFE STORAGE INC,REIT,53223X107,"11,130","129,497",SH,,SOLE,,"110,052",0,"19,445"
LIFETIME BRANDS INC,Common Stock,53222Q103,900,"61,285",SH,,SOLE,,334,0,"60,951"
LIFEVANTAGE CORP COM,Common Stock,53222K205,270,"28,826",SH,,SOLE,,"24,703",0,"4,123"
LIGAND PHARMACEUTICALS CL B,Common Stock,53220K504,"8,693","57,021",SH,,SOLE,,"21,958",0,"35,063"
LIMBACH HOLDINGS INC,Common Stock,53263P105,"1,524","144,302",SH,,SOLE,,"1,062",0,"143,240"
LIMELIGHT NETWORKS INC,Common Stock,53261M104,341,"95,444",SH,,SOLE,,"83,940",0,"11,504"
LIMONEIRA CO COM,Common Stock,532746104,252,"14,405",SH,,SOLE,,"12,443",0,"1,962"
LINCOLN ELECTRIC HOLDINGS INC,Common Stock,533900106,"13,131","106,809",SH,,SOLE,,"98,165",0,"8,644"
LINCOLN NATIONAL CORP,Common Stock,534187109,"135,898","2,182,401",SH,,SOLE,,"1,510,700",0,"671,702"
LINDBLAD EXPEDITIONS H COM,Common Stock,535219109,"1,898","100,400",SH,,SOLE,,"98,614",0,"1,786"
LINDE PLC,Common Stock,G5494J103,"470,903","1,680,957",SH,,SOLE,,"1,284,009",0,"396,948"
LINDSAY CORP,Common Stock,535555106,"4,305","25,835",SH,,SOLE,,"15,067",0,"10,768"
LINEAGE CELL THERAPEUTICS IN,Common Stock,53566P109,52,"22,064",SH,,SOLE,,"22,064",0,0
LINECORP-SPONSORED ADR,ADR,53567X101,"1,646","31,672",SH,,SOLE,,"8,164",0,"23,508"
LIONS GATE ENTERTAINMENT-A,Common Stock,535919401,"15,213","1,017,582",SH,,SOLE,,"110,874",0,"906,708"
LIONS GATE ENTERTAINMENT-B,Common Stock,535919500,"6,131","475,261",SH,,SOLE,,"444,144",0,"31,117"
LIQUIDIA TECHNOLOGIES INC,Common Stock,53635D202,127,"47,230",SH,,SOLE,,"47,230",0,0
LIQUIDITY SERVICES INC,Common Stock,53635B107,"1,789","96,261",SH,,SOLE,,"89,942",0,"6,319"
LITHIA MOTORS INC,Common Stock,536797103,"48,956","125,499",SH,,SOLE,,"46,557",0,"78,942"
LITTELFUSE INC,Common Stock,537008104,"15,387","58,186",SH,,SOLE,,"37,861",0,"20,326"
LIVANOVA PLC,Common Stock,G5509L101,"2,708","36,733",SH,,SOLE,,"34,108",0,"2,625"
LIVE NATION ENTERTAINMENT INC,Common Stock,538034109,"28,278","334,058",SH,,SOLE,,"274,811",0,"59,247"
LIVE OAK BANCSHARES IN COM,Common Stock,53803X105,"1,387","20,257",SH,,SOLE,,"19,597",0,660
LIVENT CORP,Common Stock,53814L108,"8,061","465,434",SH,,SOLE,,"302,728",0,"162,706"
LIVEPERSON INC,Common Stock,538146101,"6,214","117,819",SH,,SOLE,,"100,784",0,"17,035"
LIVERAMP HOLDINGS INC,Common Stock,53815P108,"5,464","105,312",SH,,SOLE,,"79,795",0,"25,517"
LIVEXLIVE MEDIA INC,Common Stock,53839L208,101,"23,186",SH,,SOLE,,"22,566",0,620
LIXIL GROUP CORP,ADR,53931R103,781,"13,878",SH,,SOLE,,"9,926",0,"3,952"
LKQ CORP,Common Stock,501889208,"38,629","912,576",SH,,SOLE,,"768,209",0,"144,367"
LLOYDS TSB GROUP PLC SPONSORED ADR,ADR,539439109,"11,048","4,762,078",SH,,SOLE,,"4,270,822",0,"491,256"
LMP Capital and Income Fund In,Closed-End Fund,50208A102,"1,510","118,932",SH,,SOLE,,"103,630",0,"15,303"
LOCALIZA RENT A CAR SPONSORED ADR,ADR,53956W300,"2,162","204,871",SH,,SOLE,,"197,442",0,"7,429"
LOCKHEED MARTIN CORP,Common Stock,539830109,"288,192","779,951",SH,,SOLE,,"576,806",0,"203,145"
LOEWS CORP,Common Stock,540424108,"42,915","836,867",SH,,SOLE,,"650,920",0,"185,946"
LOGITECH INTL S A SHS,Common Stock,H50430232,"28,941","276,946",SH,,SOLE,,"254,695",0,"22,252"
Lojas Renner SA,ADR,54146M202,93,"12,125",SH,,SOLE,,"9,132",0,"2,993"
LOMA NEGRA CIA IND-SPON ADR,ADR,5.42E+108,145,"22,907",SH,,SOLE,,"22,755",0,152
LONDON STK EXCHANGE GR ADR,ADR,54211N101,"50,948","2,108,774",SH,,SOLE,,"1,833,844",0,"274,930"
LONGFOR GROUP HOLDINGS-ADR,ADR,54303R101,"6,065","90,923",SH,,SOLE,,"82,245",0,"8,678"
LONZA GROUP AG - UNSPONSORED ADR,ADR,54338V101,"71,574","1,285,229",SH,,SOLE,,"1,119,793",0,"165,436"
LORAL SPACE & COMMUNICATIONS I,Common Stock,543881106,431,"11,448",SH,,SOLE,,"10,629",0,819
LOUISIANA-PACIFIC CORP,Common Stock,546347105,"14,164","255,385",SH,,SOLE,,"137,505",0,"117,880"
LOVESAC CO/THE,Common Stock,54738L109,"1,264","22,338",SH,,SOLE,,"10,565",0,"11,773"
LOWE'S COS INC,Common Stock,548661107,"660,428","3,472,649",SH,,SOLE,,"2,291,307",0,"1,181,342"
LPL FINANCIAL HOLDINGS INC,Common Stock,50212V100,"20,202","142,104",SH,,SOLE,,"100,320",0,"41,784"
LTC PROPERTIES INC REIT,REIT,502175102,"3,040","72,876",SH,,SOLE,,"63,762",0,"9,115"
LUCKIN COFFEE INC - ADR,ADR,54951L109,403,"46,321",SH,,SOLE,,"46,321",0,0
LUFAX HOLDING LTD,ADR,54975P102,657,"45,235",SH,,SOLE,,"40,200",0,"5,035"
LULULEMON ATHLETICA INC,Common Stock,550021109,"67,240","219,231",SH,,SOLE,,"172,004",0,"47,227"
LUMBER LIQUIDATORS HOLDINGS IN,Common Stock,55003T107,"1,381","54,984",SH,,SOLE,,"47,189",0,"7,795"
LUMEN TECHNOLOGIES INC,Common Stock,550241103,"94,084","7,047,506",SH,,SOLE,,"5,368,068",0,"1,679,438"
LUMENTUM HOLDINGS INC,Common Stock,55024U109,"11,719","128,282",SH,,SOLE,,"115,756",0,"12,526"
LUMINEX CORP,Common Stock,5.50E+106,"7,780","243,883",SH,,SOLE,,"134,858",0,"109,025"
LUNDIN ENERGY AB,ADR,55037R200,"2,507","69,019",SH,,SOLE,,"56,203",0,"12,816"
LVMH MOET HENNESSY LOU VUITT ADR,ADR,502441306,"175,211","1,309,105",SH,,SOLE,,"1,136,523",0,"172,583"
LVMH MOET HENNESSY LOUIS VUI,Common Stock,F58485115,272,407,SH,,SOLE,,246,0,161
LYDALL INC,Common Stock,550819106,"1,945","57,638",SH,,SOLE,,"48,935",0,"8,703"
LYFT INC-A,Common Stock,55087P104,"15,683","248,228",SH,,SOLE,,"230,976",0,"17,252"
LYONDELLBASELL INDUSTRIES NV,Common Stock,N53745100,"159,143","1,529,488",SH,,SOLE,,"953,488",0,"576,000"
Lyra Therapeutics Inc,Common Stock,55234L105,197,"16,961",SH,,SOLE,,"16,136",0,825
M&T BANK CORP,Common Stock,55261F104,"66,399","437,961",SH,,SOLE,,"377,688",0,"60,273"
M/I HOMES INC,Common Stock,55305B101,"6,912","117,012",SH,,SOLE,,"74,918",0,"42,094"
MACATAWA BK CORP COM,Common Stock,554225102,"2,912","292,696",SH,,SOLE,,"271,457",0,"21,239"
MACERICH CO/THE REIT,REIT,554382101,"11,363","971,203",SH,,SOLE,,"939,094",0,"32,109"
MACK CALI RLTY CORP COM REIT,REIT,554489104,"2,428","156,853",SH,,SOLE,,"143,706",0,"13,147"
MACOM TECHNOLOGY SOLUTIONS HOLDINGS INC,Common Stock,55405Y100,"5,959","102,706",SH,,SOLE,,"30,467",0,"72,239"
MACQUARIE BANK LTD ADR,ADR,55607P204,"48,744","417,257",SH,,SOLE,,"372,035",0,"45,222"
Macquarie Global Infrastructur,Closed-End Fund,55608D101,"8,595","393,202",SH,,SOLE,,"115,555",0,"277,647"
MACQUARIE INFRASTRUCTURE CORP,Common Stock,55608B105,"5,182","162,910",SH,,SOLE,,"133,232",0,"29,677"
MACROGENICS INC,Common Stock,556099109,"2,673","83,914",SH,,SOLE,,"42,076",0,"41,838"
MACY'S INC,Common Stock,55616P104,"73,794","4,558,018",SH,,SOLE,,"2,206,988",0,"2,351,030"
MADISON SQUARE GARDEN ENTERTAINMENT CORP CLASS A,Common Stock,55826T102,"5,010","61,247",SH,,SOLE,,"29,811",0,"31,436"
MADISON SQUARE GARDEN SPORTS,Common Stock,55825T103,"7,718","43,005",SH,,SOLE,,"25,502",0,"17,503"
MADRIGAL PHARMACEUTICA COM,Common Stock,558868105,861,"7,357",SH,,SOLE,,"6,674",0,683
MAGELLAN HEALTH INC,Common Stock,559079207,"9,966","106,881",SH,,SOLE,,"83,981",0,"22,900"
MAGELLAN MIDSTREAM PRTNRS LP COM UNIT RP L,MLP,559080106,"3,102","71,539",SH,,SOLE,,"58,305",0,"13,234"
MAGNA INTERNATIONAL INC,Common Stock,559222401,"40,229","456,941",SH,,SOLE,,"313,570",0,"143,371"
Magnachip Semiconductor Corp,Common Stock,55933J203,479,"19,247",SH,,SOLE,,"19,180",0,67
Magnite Inc,Common Stock,55955D100,"4,616","110,928",SH,,SOLE,,"84,092",0,"26,836"
MAGNOLIA OIL & GAS CORP,Common Stock,559663109,"9,623","838,269",SH,,SOLE,,"779,703",0,"58,566"
MAKEMYTRIP LIMITED SHS,Common Stock,V5633W109,"1,289","40,811",SH,,SOLE,,"40,331",0,480
MAKITA CORP ADR NEW,ADR,560877300,"13,522","314,462",SH,,SOLE,,"281,150",0,"33,312"
MALIBU BOATS INC - A,Common Stock,56117J100,"2,905","36,458",SH,,SOLE,,"17,374",0,"19,084"
MANCHESTER UNITED PLC-CL A,Common Stock,G5784H106,766,"48,637",SH,,SOLE,,"48,637",0,0
MANHATTAN ASSOCIATES INC,Common Stock,562750109,"27,345","232,965",SH,,SOLE,,"185,645",0,"47,320"
MANITOWOC CO INC/THE,Common Stock,563571405,501,"24,290",SH,,SOLE,,"23,357",0,933
MANNKIND CORP,Common Stock,56400P706,"1,043","266,033",SH,,SOLE,,"111,167",0,"154,866"
MANPOWER INC,Common Stock,56418H100,"69,604","703,784",SH,,SOLE,,"300,934",0,"402,850"
MANTECH INTERNATIONAL CORP,Common Stock,564563104,"8,968","103,143",SH,,SOLE,,"54,548",0,"48,594"
MANULIFE FINANCIAL CORP,Common Stock,56501R106,"25,853","1,202,444",SH,,SOLE,,"1,135,094",0,"67,350"
MARATHON OIL CORP,Common Stock,565849106,"139,948","13,103,704",SH,,SOLE,,"8,914,566",0,"4,189,138"
MARATHON PETROLEUM CORP,Common Stock,56585A102,"152,234","2,846,019",SH,,SOLE,,"2,033,149",0,"812,870"
Maravai LifeSciences Holdings,Common Stock,56600D107,664,"18,637",SH,,SOLE,,"1,786",0,"16,851"
MARCUS & MILLICHAP INC,Common Stock,566324109,"1,840","54,600",SH,,SOLE,,"49,909",0,"4,691"
MARCUS CORP,Common Stock,566330106,"1,216","60,834",SH,,SOLE,,"57,540",0,"3,294"
MARFRIG GLOBAL FOOD-SPON ADR,ADR,56656T105,502,"160,360",SH,,SOLE,,"159,898",0,462
MARINE PRODS CORP COM,Common Stock,568427108,420,"25,826",SH,,SOLE,,"24,908",0,918
MARINEMAX INC,Common Stock,567908108,"4,212","85,327",SH,,SOLE,,"58,413",0,"26,914"
MARKEL CORP,Common Stock,570535104,"50,420","44,243",SH,,SOLE,,"18,796",0,"25,447"
MARKER THERAPEUTICS INC,Common Stock,57055L107,203,"90,684",SH,,SOLE,,"89,216",0,"1,468"
MARKETAXESS HOLDINGS INC,Common Stock,57060D108,"49,836","100,089",SH,,SOLE,,"72,047",0,"28,042"
MARKS & SPENCER GROUP PLC SPONSORED ADR,ADR,570912105,"1,363","328,722",SH,,SOLE,,"312,813",0,"15,909"
MARLIN BUSINESS SERVICES CORP,Common Stock,571157106,422,"30,948",SH,,SOLE,,"28,826",0,"2,122"
MARRIOTT INTERNATIONAL INC/DE,Common Stock,571903202,"122,778","828,967",SH,,SOLE,,"721,059",0,"107,908"
MARRIOTT VACATIONS WORLD,Common Stock,57164Y107,"13,350","76,644",SH,,SOLE,,"64,796",0,"11,848"
MARSH & MCLENNAN COS INC,Common Stock,571748102,"242,123","1,987,874",SH,,SOLE,,"1,507,640",0,"480,234"
MARTEN TRANSPORT LTD,Common Stock,573075108,"5,026","296,179",SH,,SOLE,,"181,549",0,"114,630"
MARTIN MARIETTA MATERIALS INC,Common Stock,573284106,"67,074","199,733",SH,,SOLE,,"172,860",0,"26,873"
MARUBENI CORP ADR,ADR,573810207,"10,512","125,038",SH,,SOLE,,"107,938",0,"17,100"
