NAME OF ISSUER,TITLE OF CLASS,CUSIP,VALUE (x$1000),SHRS OR PRN AMT,SH/PRN,PUT/CALL,INVESTMENT DISCRETION,OTHER MANAGER,SOLE,SHARED,NONE
HEATH CARE SELECT SECTOR SPDR FUND,ETF,81369Y209,"3,475","27,587",SH,,SOLE,,"24,413",0,"3,173"
HECLA MINING CO,Common Stock,422704106,"6,324","850,017",SH,,SOLE,,"708,907",0,"141,110"
HEICO CORP,Common Stock,422806109,"15,769","113,107",SH,,SOLE,,"95,796",0,"17,311"
HEICO CORP - CLASS A,Common Stock,422806208,"12,477","100,474",SH,,SOLE,,"83,679",0,"16,795"
HEIDELBERGCEMENT AG ADR,ADR,42281P205,"18,947","1,106,084",SH,,SOLE,,"1,003,431",0,"102,653"
HEIDRICK & STRUGGLES INTERNATI,Common Stock,422819102,"1,667","37,411",SH,,SOLE,,"28,171",0,"9,240"
Heineken Holding NV,Common Stock,N39338194,"1,733","17,208",SH,,SOLE,,"16,938",0,270
HEINEKEN HOLDING NV-SPN ADR,ADR,423008101,"13,157","258,997",SH,,SOLE,,"228,207",0,"30,790"
HEINEKEN N V ADR,ADR,423012301,"30,883","508,379",SH,,SOLE,,"394,471",0,"113,908"
HELEN OF TROY LTD,Common Stock,G4388N106,"13,463","59,018",SH,,SOLE,,"37,344",0,"21,674"
HELIOS TECHNOLOGIES INC,Common Stock,42328H109,"5,118","65,569",SH,,SOLE,,"27,769",0,"37,800"
HELIX ENERGY SOLUTIONS GROUP I,Common Stock,42330P107,"2,002","350,584",SH,,SOLE,,"293,751",0,"56,833"
HELLENIC TELECOM ORGANIZATN SPONSORED ADR,ADR,423325307,582,"66,986",SH,,SOLE,,"64,313",0,"2,673"
HELMERICH & PAYNE INC,Common Stock,423452101,"31,188","955,810",SH,,SOLE,,"870,442",0,"85,368"
HEMISPHERE MEDIA GROUP CL A,Common Stock,42365Q103,799,"67,742",SH,,SOLE,,"56,452",0,"11,290"
HENDERSON LD DEV LTD SPONSORED ADR,ADR,425166303,"39,269","8,215,185",SH,,SOLE,,"7,391,653",0,"823,532"
HENGAN INTL GROUP CO L ADR,ADR,42551N104,"7,365","219,949",SH,,SOLE,,"214,092",0,"5,857"
HENKEL LTD PARTNERSHIP SPON ADR PFD,ADR,42550U208,"13,737","520,936",SH,,SOLE,,"457,397",0,"63,539"
HENKEL LTD PARTNERSHIP SPONSORED ADR,ADR,42550U109,"21,529","930,879",SH,,SOLE,,"844,246",0,"86,633"
HENNES & MAURITZ AB - UNSP ADR,ADR,425883105,"23,803","5,075,346",SH,,SOLE,,"4,699,129",0,"376,217"
HENRY SCHEIN INC,Common Stock,806407102,"32,000","431,320",SH,,SOLE,,"385,460",0,"45,860"
HERBALIFE NUTRITION LTD,Common Stock,G4412G101,"10,531","199,709",SH,,SOLE,,"162,992",0,"36,717"
HERC HOLDINGS INC,Common Stock,42704L104,"10,646","94,998",SH,,SOLE,,"61,777",0,"33,221"
HERCULES CAPITAL INC,Common Stock,427096508,"3,983","233,466",SH,,SOLE,,"12,724",0,"220,742"
HERITAGE COMMERCE CORP,Common Stock,426927109,"2,177","195,560",SH,,SOLE,,"179,144",0,"16,416"
HERITAGE FINL CORP WASH COM,Common Stock,42722X106,"2,651","105,973",SH,,SOLE,,"87,826",0,"18,147"
HERITAGE INS HLDGS INC COM,Common Stock,42727J102,"1,095","127,571",SH,,SOLE,,"114,268",0,"13,303"
HERITAGE-CRYSTAL CLEAN INC,Common Stock,42726M106,"4,877","164,331",SH,,SOLE,,"2,317",0,"162,014"
HERMAN MILLER INC,Common Stock,600544100,"10,007","212,288",SH,,SOLE,,"155,925",0,"56,363"
HERMES INTL SCA ADR,ADR,42751Q105,"66,933","458,509",SH,,SOLE,,"419,428",0,"39,081"
HERON THERAPEUTICS INC COM,Common Stock,427746102,"2,488","160,332",SH,,SOLE,,"54,737",0,"105,595"
HERSHA HOSPITALITY TRUST REIT,REIT,427825500,"5,200","483,298",SH,,SOLE,,"396,935",0,"86,363"
HERSHEY CO/THE,Common Stock,427866108,"95,180","546,446",SH,,SOLE,,"367,848",0,"178,598"
HESKA CORP COM,Common Stock,42805E306,"8,490","36,958",SH,,SOLE,,"13,279",0,"23,679"
HESS CORP,Common Stock,42809H107,"61,992","709,945",SH,,SOLE,,"616,545",0,"93,400"
HEWLETT PACKARD ENTERP COM,Common Stock,42824C109,"118,502","8,127,686",SH,,SOLE,,"4,657,375",0,"3,470,311"
HEXAGON AB ADR,ADR,428263107,"52,134","3,518,315",SH,,SOLE,,"3,162,180",0,"356,135"
HEXCEL CORP,Common Stock,428291108,"26,130","418,748",SH,,SOLE,,"369,151",0,"49,597"
HF FOODS GROUP INC,Common Stock,40417F109,346,"65,318",SH,,SOLE,,"59,492",0,"5,826"
HIBBETT INC,Common Stock,428567101,"6,136","68,461",SH,,SOLE,,"39,101",0,"29,360"
HIGHWOODS PPTYS INC COM REIT,REIT,431284108,"8,553","189,346",SH,,SOLE,,"159,001",0,"30,345"
HILLENBRAND INC,Common Stock,431571108,"22,519","510,859",SH,,SOLE,,"378,091",0,"132,768"
HILL-ROM HOLDINGS INC,Common Stock,431475102,"21,269","187,247",SH,,SOLE,,"108,779",0,"78,468"
HILLTOP HOLDINGS INC,Common Stock,432748101,"6,935","190,511",SH,,SOLE,,"116,428",0,"74,083"
HILTON GRAND VACATIONS INC,Common Stock,43283X105,"5,403","130,549",SH,,SOLE,,"123,974",0,"6,575"
HILTON WORLWIDE HOLDINGS INC,Common Stock,43300A203,"68,967","571,771",SH,,SOLE,,"495,724",0,"76,047"
HINO MOTORS LTD-UNSPON ADR,ADR,433406204,398,"4,520",SH,,SOLE,,"2,589",0,"1,931"
HITACHI CONSTR MACHY C ADR,ADR,43358L101,"1,762","28,759",SH,,SOLE,,"25,392",0,"3,367"
HITACHI LIMITED ADR 10 COM,ADR,433578507,"82,593","721,080",SH,,SOLE,,"640,680",0,"80,401"
HNI CORP,Common Stock,404251100,"5,504","125,168",SH,,SOLE,,"106,614",0,"18,554"
HOLCIM LTD SPONSORED ADR,ADR,4.35E+109,"25,142","2,098,683",SH,,SOLE,,"1,927,151",0,"171,532"
HOLLYFRONTIER CORP,Common Stock,436106108,"98,861","3,004,893",SH,,SOLE,,"1,816,256",0,"1,188,637"
HOLLYSYS AUTOMATION TE SHS,Common Stock,G45667105,630,"42,256",SH,,SOLE,,"42,256",0,0
HOLOGIC INC,Common Stock,436440101,"35,795","536,499",SH,,SOLE,,"459,786",0,"76,713"
HOME BANCSHARES INC/AR,Common Stock,436893200,"8,938","362,165",SH,,SOLE,,"240,218",0,"121,947"
HOME DEPOT INC/THE,Common Stock,437076102,"1,275,508","3,999,835",SH,,SOLE,,"3,454,522",0,"545,314"
HOMESTREET INC COM,Common Stock,43785V102,"4,422","108,550",SH,,SOLE,,"45,283",0,"63,267"
HOMETRUST BANCSHARES I COM,Common Stock,437872104,665,"23,844",SH,,SOLE,,"17,484",0,"6,360"
HOMOLOGY MEDICINES INC,Common Stock,438083107,198,"27,197",SH,,SOLE,,"26,925",0,272
HONDA MOTOR LTD AMERN SHS,ADR,438128308,"54,559","1,695,433",SH,,SOLE,,"1,525,073",0,"170,360"
HONEYWELL INTERNATIONAL INC,Common Stock,438516106,"571,994","2,607,677",SH,,SOLE,,"2,054,857",0,"552,820"
HONG KONG & CHINA GAS LTD SPONSORED ADR,ADR,438550303,"7,594","4,996,169",SH,,SOLE,,"4,569,334",0,"426,835"
HONG KONG EXCHANGES & CLEAR - ADR,ADR,43858F109,"87,227","1,464,033",SH,,SOLE,,"1,318,944",0,"145,089"
HONGKONG ELEC HOLDGS LTD SPONSORED ADR,ADR,739197200,"1,910","313,681",SH,,SOLE,,"285,674",0,"28,007"
Hongkong Land Holdings Ltd,ADR,438581308,"1,777","74,280",SH,,SOLE,,"60,228",0,"14,052"
HOOKER FURNITURE CORP,Common Stock,439038100,817,"23,585",SH,,SOLE,,"23,485",0,100
HOPE BANCORP INC,Common Stock,43940T109,"13,474","950,211",SH,,SOLE,,"792,188",0,"158,022"
HORACE MANN EDUCATORS CORP,Common Stock,440327104,"6,255","167,152",SH,,SOLE,,"136,025",0,"31,128"
HORIZON BANCORP INC/IN,Common Stock,440407104,"2,955","169,508",SH,,SOLE,,"161,125",0,"8,383"
HORIZON THERAPEUTICS PLC,Common Stock,G46188101,"38,428","410,382",SH,,SOLE,,"275,253",0,"135,129"
HORMEL FOODS CORP,Common Stock,440452100,"65,168","1,364,783",SH,,SOLE,,"1,058,014",0,"306,769"
HOST HOTELS & RESORTS INC REIT,REIT,44107P104,"74,344","4,350,138",SH,,SOLE,,"2,475,555",0,"1,874,584"
HOSTESS BRAND INC,Common Stock,44109J106,"17,753","1,096,513",SH,,SOLE,,"213,711",0,"882,802"
HOUGHTON MIFFLIN HARCO COM,Common Stock,44157R109,"2,778","251,597",SH,,SOLE,,"250,627",0,970
HOULIHAN LOKEY INC,Common Stock,441593100,"13,947","170,522",SH,,SOLE,,"153,941",0,"16,581"
HOWARD HUGHES CORP/THE,Common Stock,44267D107,"12,429","127,526",SH,,SOLE,,"32,913",0,"94,613"
HOWMET AEROSPACE INC,Common Stock,443201108,"35,908","1,041,708",SH,,SOLE,,"777,041",0,"264,667"
HOYA CORP SPONSORED ADR,ADR,443251103,"87,872","661,639",SH,,SOLE,,"574,591",0,"87,048"
HP INC,Common Stock,40434L105,"197,448","6,540,191",SH,,SOLE,,"3,968,740",0,"2,571,450"
HSBC HLDGS PLC-SPON ADR,ADR,404280406,"81,992","2,842,013",SH,,SOLE,,"2,503,857",0,"338,156"
HUANENG PWR INTL INC SPON ADR N,ADR,443304100,"3,989","251,499",SH,,SOLE,,"240,109",0,"11,390"
HUAZHU GROUP LTD-ADR,ADR,44332N106,"3,122","59,126",SH,,SOLE,,"54,222",0,"4,904"
HUB GROUP INC,Common Stock,443320106,"6,984","105,845",SH,,SOLE,,"85,191",0,"20,654"
HUBBELL INC,Common Stock,443510607,"29,433","157,530",SH,,SOLE,,"149,139",0,"8,390"
HUBSPOT INC COM,Common Stock,443573100,"41,273","70,828",SH,,SOLE,,"66,840",0,"3,988"
HUDSON PAC PPTYS INC COM REIT,REIT,444097109,"3,618","130,057",SH,,SOLE,,"104,656",0,"25,402"
HUDSON TECHNOLOGIES COM,Common Stock,444144109,934,"274,560",SH,,SOLE,,0,0,"274,560"
HUGO BOSS AG-SPN ADR,ADR,444560106,141,"12,808",SH,,SOLE,,"12,808",0,0
HUMANA INC,Common Stock,444859102,"278,902","629,973",SH,,SOLE,,"445,446",0,"184,527"
Humanigen Inc,Common Stock,444863203,297,"17,070",SH,,SOLE,,"17,070",0,0
HUNTINGTON BANCSHARES INC/OH,Common Stock,446150104,"95,492","6,691,781",SH,,SOLE,,"5,806,943",0,"884,838"
HUNTINGTON INGLASS INDUSTRIES INC,Common Stock,446413106,"68,447","324,780",SH,,SOLE,,"205,867",0,"118,913"
HUNTSMAN CORP,Common Stock,447011107,"42,029","1,584,787",SH,,SOLE,,"297,869",0,"1,286,918"
HURON CONSULTING GROUP INC,Common Stock,447462102,"2,767","56,290",SH,,SOLE,,"22,681",0,"33,609"
HUSQVARNA AB ADR,ADR,448103101,"2,424","89,933",SH,,SOLE,,"74,989",0,"14,944"
HUTCHISON CHINA MEDITECH - ADR,ADR,44842L103,"3,386","86,218",SH,,SOLE,,"81,760",0,"4,458"
HUYA INC-ADR,ADR,44852D108,"2,386","135,201",SH,,SOLE,,"131,021",0,"4,180"
HYATT HOTELS CORP - CL A,Common Stock,448579102,"7,524","96,904",SH,,SOLE,,"67,225",0,"29,679"
HYLIION HOLDINGS CORP,Common Stock,449109107,219,"18,830",SH,,SOLE,,"13,996",0,"4,834"
HYPERMARCAS S A SPONSORED ADR,ADR,44914U106,437,"63,777",SH,,SOLE,,"58,000",0,"5,777"
HYSTER-YALE MATERIALS HANDLING,Common Stock,449172105,"1,003","13,742",SH,,SOLE,,"13,130",0,612
I3 VERTICALS INC-CLASS A,Common Stock,46571Y107,"1,380","45,663",SH,,SOLE,,"31,858",0,"13,805"
IAA INC,Common Stock,449253103,"19,735","361,850",SH,,SOLE,,"247,010",0,"114,840"
IAC/INTERACTIVECORP,Common Stock,44891N208,"30,321","196,674",SH,,SOLE,,"177,338",0,"19,336"
IBERDROLA SA,Common Stock,E6165F166,157,"12,802",SH,,SOLE,,"4,673",0,"8,129"
IBERDROLA SA - SPONSORED ADR,ADR,450737101,"89,104","1,823,852",SH,,SOLE,,"1,630,873",0,"192,979"
ICF INTERNATIONAL INC,Common Stock,44925C103,"1,322","15,050",SH,,SOLE,,"9,604",0,"5,446"
ICHOR HOLDINGS LTD,Common Stock,G4740B105,"5,128","95,322",SH,,SOLE,,"55,037",0,"40,285"
ICICI BK LTD ADR,ADR,45104G104,"39,057","2,284,031",SH,,SOLE,,"2,027,461",0,"256,570"
ICL Group Ltd,Common Stock,M53213100,"15,913","2,319,678",SH,,SOLE,,"2,064,457",0,"255,221"
ICON PLC,Common Stock,G4705A100,"16,838","81,455",SH,,SOLE,,"62,535",0,"18,920"
ICU MEDICAL INC,Common Stock,44930G107,"13,204","64,160",SH,,SOLE,,"54,344",0,"9,816"
IDACORP INC,Common Stock,451107106,"23,557","241,612",SH,,SOLE,,"200,555",0,"41,057"
IDEX CORP,Common Stock,45167R104,"62,685","284,869",SH,,SOLE,,"255,882",0,"28,986"
IDEXX LABORATORIES INC,Common Stock,45168D104,"221,051","350,014",SH,,SOLE,,"270,033",0,"79,981"
IDT CORP,Common Stock,448947507,"1,733","46,885",SH,,SOLE,,"40,636",0,"6,249"
IGIB - iShares Trust iShares 5-10 Year Investment Grade Corporate Bond ETF,ETF,464288638,"2,792","46,130",SH,,SOLE,,"46,130",0,0
IGM Biosciences Inc,Common Stock,449585108,418,"5,020",SH,,SOLE,,"3,921",0,"1,099"
iHeartMedia Inc,Common Stock,45174J509,"4,186","155,446",SH,,SOLE,,"78,425",0,"77,021"
IHS MARKIT LTD,Common Stock,G47567105,"121,742","1,080,615",SH,,SOLE,,"977,901",0,"102,714"
II-VI INC,Common Stock,902104108,"12,402","170,848",SH,,SOLE,,"147,769",0,"23,079"
ILLINOIS TOOL WORKS INC,Common Stock,452308109,"320,337","1,432,889",SH,,SOLE,,"1,101,865",0,"331,024"
ILLUMINA INC,Common Stock,452327109,"209,199","442,086",SH,,SOLE,,"387,335",0,"54,751"
I-MAB-ADR EQUITY,ADR,44975P103,"1,264","15,059",SH,,SOLE,,"14,170",0,889
IMAX CORP,Common Stock,4.52E+113,"1,671","77,700",SH,,SOLE,,"74,271",0,"3,429"
IMMERSION CORP COM,Common Stock,452521107,135,"15,376",SH,,SOLE,,"13,737",0,"1,639"
IMMUNITYBIO INC,Common Stock,45256X103,294,"20,623",SH,,SOLE,,"20,267",0,356
IMMUNOGEN INC COM,Common Stock,45253H101,"1,573","238,733",SH,,SOLE,,"186,900",0,"51,833"
IMMUNOVANT INC,Common Stock,45258J102,"1,126","106,532",SH,,SOLE,,"105,532",0,"1,000"
IMPALA PLATINUM HLDGS SPONSORED ADR,ADR,452553308,"2,666","160,881",SH,,SOLE,,"144,212",0,"16,670"
IMPERIAL BRANDS PLC-SPON ADR,ADR,45262P102,"21,846","995,466",SH,,SOLE,,"896,966",0,"98,500"
IMPERIAL HOLDINGS LTD SPON ADR,ADR,452833205,72,"21,527",SH,,SOLE,,"21,527",0,0
IMPERIAL OIL LTD,Common Stock,453038408,"14,729","484,492",SH,,SOLE,,"474,404",0,"10,088"
IMPINJ INC COM,Common Stock,453204109,660,"12,802",SH,,SOLE,,"11,344",0,"1,458"
INARI MEDICAL INC,Common Stock,45332Y109,"2,815","30,179",SH,,SOLE,,"24,699",0,"5,480"
INCITEC PIVOT LTD,ADR,45326Y206,60,"34,050",SH,,SOLE,,"34,050",0,0
INCYTE CORP,Common Stock,45337C102,"43,171","513,151",SH,,SOLE,,"446,424",0,"66,727"
INDEPENDENCE HOLDING CO,Common Stock,453440307,616,"13,300",SH,,SOLE,,"12,406",0,894
INDEPENDENCE REALTY TRUST IN,REIT,45378A106,"8,377","459,497",SH,,SOLE,,"324,460",0,"135,037"
INDEPENDENT BANK CORP MICH COM,Common Stock,453838609,"2,661","122,558",SH,,SOLE,,"85,424",0,"37,134"
INDEPENDENT BANK CORP/ROCKLAND,Common Stock,453836108,"4,879","64,621",SH,,SOLE,,"59,761",0,"4,860"
INDEPENDENT BANK GROUP INC,Common Stock,45384B106,"6,860","92,723",SH,,SOLE,,"85,399",0,"7,324"
INDITEX - ADR,ADR,455793109,"39,625","2,238,715",SH,,SOLE,,"2,086,085",0,"152,630"
INDUSTRIAL & COMMERCIAL BANK OF CHINA ADR,ADR,455807107,"12,013","1,027,611",SH,,SOLE,,"989,884",0,"37,727"
INDUSTRIAL LOGISTICS PROPERT,REIT,456237106,"5,281","202,031",SH,,SOLE,,"158,745",0,"43,286"
INDUSTRIAL SEL SEC SPDR FD,ETF,81369Y704,"3,419","33,387",SH,,SOLE,,"31,090",0,"2,297"
INFINEON TECHNOLOGIES - ADR,ADR,45662N103,"65,520","1,625,407",SH,,SOLE,,"1,321,085",0,"304,322"
Infineon Technologies AG,Common Stock,D35415104,639,"15,804",SH,,SOLE,,"15,804",0,0
INFINERA CORP,Common Stock,45667G103,"1,245","122,076",SH,,SOLE,,"96,815",0,"25,261"
INFINITY PHARMACEUTICALS INC,Common Stock,45665G303,31,"10,234",SH,,SOLE,,"10,234",0,0
INFORMA PLC-SP ADR,ADR,45672B305,"15,303","1,105,344",SH,,SOLE,,"970,249",0,"135,095"
INFORMATION SERVICES GROUP,Common Stock,45675Y104,79,"13,494",SH,,SOLE,,"2,327",0,"11,167"
INFOSYS TECHNOLOGIES LTD SPONSORED ADR,ADR,456788108,"81,029","3,823,945",SH,,SOLE,,"3,482,802",0,"341,143"
ING GROUP N V SPONSORED ADR,ADR,456837103,"65,768","4,967,350",SH,,SOLE,,"3,858,098",0,"1,109,252"
Ingersoll Rand Inc,Common Stock,45687V106,"42,944","879,815",SH,,SOLE,,"776,428",0,"103,388"
INGEVITY CORP,Common Stock,45688C107,"15,258","187,537",SH,,SOLE,,"99,256",0,"88,281"
INGLES MARKETS INC,Common Stock,457030104,"4,535","77,829",SH,,SOLE,,"52,037",0,"25,792"
INGREDION INC,Common Stock,457187102,"49,972","552,176",SH,,SOLE,,"216,442",0,"335,734"
Inhibrx Inc,Common Stock,45720L107,957,"34,777",SH,,SOLE,,0,0,"34,777"
Inmode Ltd,Common Stock,M5425M103,306,"3,237",SH,,SOLE,,"3,074",0,163
INNOSPEC INC,Common Stock,45768S105,"6,552","72,314",SH,,SOLE,,"57,384",0,"14,930"
INNOVATIVE INDUSTRIAL PROPER,REIT,45781V101,"13,013","68,123",SH,,SOLE,,"43,902",0,"24,220"
INNOVIVA INC,Common Stock,45781M101,"4,105","306,136",SH,,SOLE,,"168,731",0,"137,405"
INOGEN INC.,Common Stock,45780L104,"4,229","64,893",SH,,SOLE,,"60,902",0,"3,991"
INOVALON HLDGS INC COM CL A,Common Stock,45781D101,"11,700","343,306",SH,,SOLE,,"161,166",0,"182,140"
INOVIO BIOMEDICAL CORP COM,Common Stock,45773H201,"1,433","154,560",SH,,SOLE,,"150,691",0,"3,869"
INPEX CORP ADR,ADR,45790H101,"3,064","409,138",SH,,SOLE,,"325,268",0,"83,870"
INPOST SA - UNSP ADR,ADR,45784C100,756,"77,039",SH,,SOLE,,0,0,"77,039"
INSEEGO CORP,Common Stock,45782B104,277,"27,482",SH,,SOLE,,"20,143",0,"7,339"
INSIGHT ENTERPRISES INC,Common Stock,45765U103,"17,613","176,108",SH,,SOLE,,"102,626",0,"73,482"
INSMED INC COM NEW,Common Stock,457669307,"2,584","90,797",SH,,SOLE,,"55,266",0,"35,531"
INSPERITY INC,Common Stock,45778Q107,"4,118","45,564",SH,,SOLE,,"42,716",0,"2,848"
INSPIRE MEDICAL SYSTEMS INC,Common Stock,457730109,"6,256","32,371",SH,,SOLE,,"19,887",0,"12,484"
INSPIRED ENTERTAINMENT INC,Common Stock,45782N108,553,"43,346",SH,,SOLE,,0,0,"43,346"
INSTALLED BUILDING PRODUCTS,Common Stock,45780R101,"6,888","56,292",SH,,SOLE,,"47,636",0,"8,656"
INSTEEL INDUSTRIES INC,Common Stock,45774W108,"1,030","32,050",SH,,SOLE,,"29,596",0,"2,454"
Instil Bio Inc,Common Stock,45783C101,521,"26,970",SH,,SOLE,,"1,269",0,"25,701"
INSULET CORP COM,Common Stock,45784P101,"19,525","71,128",SH,,SOLE,,"63,520",0,"7,608"
INTEGER HLDGS CORP COM,Common Stock,45826H109,"10,284","109,172",SH,,SOLE,,"88,242",0,"20,930"
INTEGRA LIFESCIENCES HOLDINGS,Common Stock,457985208,"11,741","172,056",SH,,SOLE,,"100,270",0,"71,786"
INTEGRATED ELECTRICAL SERVIC,Common Stock,44951W106,345,"6,721",SH,,SOLE,,"6,289",0,432
INTEL CORP,Common Stock,458140100,"937,102","16,692,225",SH,,SOLE,,"12,359,049",0,"4,333,176"
INTELLIA THERAPEUTICS INC,Common Stock,45826J105,"10,665","65,872",SH,,SOLE,,"41,635",0,"24,237"
INTELLIGENTIAS INC,Common Stock,458168101,0,"159,600",SH,,SOLE,,"159,600",0,0
INTER PARFUMS INC,Common Stock,458334109,"4,564","63,395",SH,,SOLE,,"48,062",0,"15,333"
INTERACTIVE BROKERS GROUP INC,Common Stock,45841N107,"4,872","74,116",SH,,SOLE,,"65,290",0,"8,825"
INTERCEPT PHARMACEUTICALS INC,Common Stock,45845P108,661,"33,100",SH,,SOLE,,"32,155",0,945
INTERCONTINENTAL EXCHANGE INC,Common Stock,45866F104,"255,516","2,152,616",SH,,SOLE,,"1,759,647",0,"392,969"
INTERCONTINENTAL HTLS GRP PL SPONSORED ADR,ADR,45857P806,"24,565","368,342",SH,,SOLE,,"329,695",0,"38,647"
INTERDIGITAL INC,Common Stock,45867G101,"5,884","80,573",SH,,SOLE,,"75,842",0,"4,731"
INTERFACE INC,Common Stock,458665304,"2,200","143,784",SH,,SOLE,,"85,774",0,"58,010"
INTERNATIONAL BANCSHARES CORP,Common Stock,459044103,"5,230","121,809",SH,,SOLE,,"117,396",0,"4,413"
INTERNATIONAL BUSINESS MACHINE,Common Stock,459200101,"393,753","2,686,085",SH,,SOLE,,"1,892,766",0,"793,318"
INTERNATIONAL CONSOLIDATED AIRLINES GRP,ADR,459348108,"2,082","426,597",SH,,SOLE,,"53,021",0,"373,576"
INTERNATIONAL FLAVORS & FRAGRA,Common Stock,459506101,"66,647","446,095",SH,,SOLE,,"351,947",0,"94,147"
INTERNATIONAL GAME TECHNOLOGY,Common Stock,G4863A108,"11,028","460,271",SH,,SOLE,,"377,147",0,"83,124"
INTERNATIONAL MONEY EXPRESS,Common Stock,46005L101,672,"45,256",SH,,SOLE,,"30,371",0,"14,885"
INTERNATIONAL PAPER CO,Common Stock,460146103,"138,543","2,259,710",SH,,SOLE,,"1,526,285",0,"733,425"
INTERNATIONAL SEAWAYS INC,Common Stock,Y41053102,411,"21,450",SH,,SOLE,,"11,642",0,"9,808"
INTERPUBLIC GROUP OF COS INC/T,Common Stock,460690100,"53,693","1,652,594",SH,,SOLE,,"1,467,318",0,"185,275"
INTERSECT ENT INC COM,Common Stock,46071F103,562,"32,861",SH,,SOLE,,"14,803",0,"18,058"
INTERTEK GROUP PLC ADR,ADR,461130106,"2,351","30,193",SH,,SOLE,,"25,106",0,"5,087"
INTESA SANPAOLO-SPON ADR,ADR,46115H107,"31,420","1,879,204",SH,,SOLE,,"1,629,944",0,"249,260"
INTRA CELLULAR THERAP COM,Common Stock,46116X101,"9,628","235,871",SH,,SOLE,,"110,377",0,"125,494"
INTREPID POTASH INC,Common Stock,46121Y201,315,"9,887",SH,,SOLE,,"9,880",0,7
INTUIT INC,Common Stock,461202103,"676,413","1,379,957",SH,,SOLE,,"884,897",0,"495,060"
INTUITIVE SURGICAL INC COM NEW,Common Stock,46120E602,"381,326","414,647",SH,,SOLE,,"351,206",0,"63,441"
INVACARE CORP,Common Stock,461203101,"1,731","214,489",SH,,SOLE,,"209,362",0,"5,127"
Invesco Dynamic Credit Opportu,Closed-End Fund,46132R104,"13,885","1,170,741",SH,,SOLE,,0,0,"1,170,741"
INVESCO FTSE RAFI US 1000 ETF,ETF,46137V613,386,"2,410",SH,,SOLE,,"2,405",0,5
INVESCO FTSE RAFI US 1500 SM,ETF,46137V597,380,"2,032",SH,,SOLE,,"2,014",0,18
INVESCO LTD,Common Stock,G491BT108,"93,515","3,498,499",SH,,SOLE,,"2,896,338",0,"602,161"
INVESCO MORTGAGE CAPITAL REIT,REIT,46131B100,"4,675","1,198,792",SH,,SOLE,,"921,403",0,"277,389"
Invesco Municipal Trust,Closed-End Fund,46131J103,"4,044","294,763",SH,,SOLE,,0,0,"294,763"
INVESCO QQQ TRUST SERIES 1,ETF,4.61E+107,"7,655","21,598",SH,,SOLE,,"19,105",0,"2,493"
Invesco Quality Municipal Inco,Closed-End Fund,46133G107,"11,440","847,428",SH,,SOLE,,0,0,"847,428"
INVESCO S&P 500 LOW VOLATILITY ETF,ETF,46138E354,522,"8,577",SH,,SOLE,,"7,147",0,"1,430"
INVESCO S&P 500 PURE GROWTH ETF,ETF,46137V266,384,"2,087",SH,,SOLE,,"2,087",0,0
INVESCO S&P 500 PURE VALUE E,ETF,46137V258,"152,027","1,970,030",SH,,SOLE,,"1,970,030",0,0
INVESCO S&P EQUAL WEIGHT ETF,ETF,46137V357,822,"5,453",SH,,SOLE,,"5,453",0,0
Invesco Senior Income Trust,Closed-End Fund,46131H107,"14,010","3,141,178",SH,,SOLE,,0,0,"3,141,178"
Invesco Trust for Investment G,Closed-End Fund,46131M106,"9,772","696,993",SH,,SOLE,,0,0,"696,993"
Invesco Value Municipal Income,Closed-End Fund,46132P108,"18,129","1,099,381",SH,,SOLE,,0,0,"1,099,381"
INVESTORS BANCORP INC,Common Stock,46146L101,"21,424","1,502,403",SH,,SOLE,,"1,315,109",0,"187,294"
INVITAE CORP COM,Common Stock,46185L103,"2,142","63,519",SH,,SOLE,,"60,200",0,"3,319"
INVITATION HOMES INC,REIT,46187W107,"38,701","1,037,828",SH,,SOLE,,"893,065",0,"144,763"
IONIS PHARMACEUTICALS INC,Common Stock,462222100,"8,784","220,212",SH,,SOLE,,"197,840",0,"22,372"
IOVANCE BIOTHERAPEUTICS INC,Common Stock,462260100,"6,947","266,999",SH,,SOLE,,"183,855",0,"83,144"
IPG PHOTONICS CORP,Common Stock,44980X109,"18,665","88,556",SH,,SOLE,,"77,932",0,"10,624"
IQIYI INC-ADR,ADR,46267X108,"2,188","140,464",SH,,SOLE,,"130,162",0,"10,302"
IQVIA HOLDINGS INC,Common Stock,46266C105,"127,011","524,145",SH,,SOLE,,"448,411",0,"75,734"
IRADIMED CORP COM,Common Stock,46266A109,"1,733","58,928",SH,,SOLE,,"16,526",0,"42,402"
IRHYTHM TECHNOLOGIES I COM,Common Stock,450056106,"1,432","21,589",SH,,SOLE,,"20,085",0,"1,504"
IRIDIUM COMMUNICATIONS INC,Common Stock,46269C102,"19,198","480,059",SH,,SOLE,,"399,224",0,"80,835"
IROBOT CORP,Common Stock,462726100,"8,045","86,144",SH,,SOLE,,"62,299",0,"23,845"
IRON MOUNTAIN INC,REIT,46284V101,"44,397","1,049,087",SH,,SOLE,,"820,039",0,"229,048"
IRONWOOD PHARMACEUTICALS INC,Common Stock,46333X108,"4,807","373,486",SH,,SOLE,,"131,524",0,"241,962"
IRSA INVERSIONES Y REP ADR,ADR,450047204,56,"15,133",SH,,SOLE,,"13,760",0,"1,373"
IShare,Equity Option,833445959,"3,641",750,SH,Put,SOLE,,750,0,0
